bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,year,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,family.group,length.mat.care,n.LMC,litter.size,mean.offspring.condition
W0705_2007,W0705,2006,M,2006,1,WithMother,5.18,-23.108,30,42,4/16/2007,4.8252,0.714285714,2006,2007,Keiko_k3:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,120,o,1,2,0.678130511
W9615_2009,W9615,2008,F,1995,14,WithCubs,4.36,-22.854,105,63,4/22/2009,11.17,1.666666667,2008,2009,Keiko,s,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,1,W8905,W9409,121,o,1,1,0.609756098
W0910_2009,W0910,2008,M,2008,1,WithMother,4.46,-23.114,25,41,4/22/2009,13.58,0.609756098,2008,2009,Röde,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9615,unknown,121,o,1,1,0.609756098
W9804_2003,W9804,2002,F,1997,6,WithCubs,4.13,-22.766,64,56,4/14/2003,16.2,1.142857143,2002,2003,Borregaard,s,s,s,2,s,s,s,l,l,l,l,l,2,january-july,yes,1,W9008,W9811,123,o,1,2,0.366541353
W0308_2003,W0308,2002,M,2002,1,WithMother,4.7,-22.926,17,38,4/14/2003,10.3,0.447368421,2002,2003,Borregaard_k2:1,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9804,W0108,123,o,1,2,0.366541353
W0309_2003,W0309,2002,F,2002,1,WithMother,4.82,-22.966,10,35,4/14/2003,13.43,0.285714286,2002,2003,Bornå,m,m,m,m,m,m,m,d,NA,NA,NA,NA,0,NA,NA,NA,W9804,W0108,123,o,1,2,0.366541353
W9806_2005,W9806,2004,F,1996,9,WithCubs,4.29,-23.112,94,64,4/15/2005,5.178,1.46875,2004,2005,Femma,s,s,s,2,s,s,2,l,l,l,l,l,2,january-july,yes,1,W0121,W8607,124,o,1,2,0.578397213
W0502_2005,W0502,2004,M,2004,1,WithMother,5.05,-23.132,24,41,4/15/2005,6.5108,0.585365854,2004,2005,Femma_k3:1,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9806,W0233,124,o,1,2,0.578397213
W0503_2005,W0503,2004,F,2004,1,WithMother,4.97,-22.972,24,42,4/15/2005,5.3936,0.571428571,2004,2005,Påranäva,m,m,m,m,m,m,m,l,l,l,l,l,0,NA,NA,NA,W9806,unknown,124,o,1,2,0.578397213
W9806_2007,W9806,2006,F,1996,11,WithCubs,4.63,-23.208,91,64,4/19/2007,4.8938,1.421875,2006,2007,Femma,s,s,s,2,2,2,l,l,D,NA,NA,NA,2,january-june,yes,1,W0121,W8607,125,o,1,2,0.55625
W0703_2007,W0703,2006,F,2006,1,WithMother,5.35,-23.298,20.5,40,4/16/2007,5.7268,0.5125,2006,2007,Hapa,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9806,W0012,125,o,1,2,0.55625
