bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,fAGE,year,fREPRO,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,FG
W0015_2000,W0015,1999,F,1999,1,WithMother,5.72,-22.942,36,41.5,4/17/2000,3.4336,0.86746988,1999,1,2000,4,Tälla,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8904,00W07,70
W8904_2000,W8904,1999,F,1987,13,WithCubs,5.17,-22.772,107,60,4/16/2000,4.0412,1.783333333,1999,13,2000,3,Täxåshonan,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8802,unknown,70
W0313_2003,W0313,2002,M,2002,1,WithMother,5,-22.886,24,41,4/16/2003,10.46,0.585365854,2002,1,2003,4,Täxås_k9:1,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,W8904,unknown,71
W0314_2003,W0314,2002,M,2002,1,WithMother,4.86,-23.066,21,41,4/16/2003,9.26,0.512195122,2002,1,2003,4,Täxås_k9:2,m,m,m,m,m,m,m,m,m,d,NA,NA,NA,NA,NA,NA,W8904,unknown,71
W8904_2003,W8904,2002,F,1987,16,WithCubs,4.39,-23.116,84,60,4/16/2003,7.69,1.4,2002,16,2003,3,Täxåshonan,s,s,s,s,s,s,s,s,1,NA,NA,NA,2,unknown,yes,1,W8802,unknown,71
W0607_2006,W0607,2005,F,2005,1,WithMother,5.06,-23.22,17,37,4/22/2006,5.4426,0.459459459,2005,1,2006,4,Ränna,m,m,m,m,m,l,l,l,d,NA,NA,NA,0,NA,NA,NA,W8904,unknown,72
W0608_2006,W0608,2005,F,2005,1,WithMother,5.14,-23.49,24,40,4/22/2006,9.8232,0.6,2005,1,2006,4,Ribba,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8904,unknown,72
W0609_2006,W0609,2005,F,2005,1,WithMother,5.29,-23.23,22.5,39,4/22/2006,6.5304,0.576923077,2005,1,2006,4,Högåsa,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8904,unknown,72
W8904_2006,W8904,2005,F,1987,19,WithCubs,4.75,-23.44,91,61,4/22/2006,6.207,1.491803279,2005,19,2006,3,Täxåshonan,s,s,s,2,2,l,l,l,D,NA,NA,NA,3,january-may,yes,1,W8802,unknown,72
W9614_1996,W9614,1995,M,1995,1,WithMother,4.83,-22.87,25,40,4/22/1996,4.982,0.625,1995,1,1996,4,Vässin,m,m,m,m,l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8905,W9409,73
W9615_1996,W9615,1995,F,1995,1,WithMother,4.48,-22.95,21,39.5,4/22/1996,5.766,0.53164557,1995,1,1996,4,Keiko,m,m,m,m,l,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,W8905,W9409,73
W8905_1996,W8905,1995,F,1987,9,WithCubs,4.29,-22.66,85,59,4/22/1996,4.3744,1.440677966,1995,9,1996,3,Björnbergshonan,s,s,s,2,l,l,l,l,l,l,l,l,2,january-april,yes,1,W8707,W8804,73
W9701_1997,W9701,1996,M,1996,1,WithMother,4.77,-23.418,35.5,39,4/15/1997,5.1584,0.91025641,1996,1,1997,4,Bjoke,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W8906,unknown,74
W9702_1997,W9702,1996,M,1996,1,WithMother,4.88,-23.428,35,40,4/15/1997,4.5312,0.875,1996,1,1997,4,Grane,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W8906,unknown,74
W8906_1997,W8906,1996,F,1981,16,WithCubs,4.44,-23.048,118,65,4/15/1997,3.6198,1.815384615,1996,16,1997,3,Tunturihonan,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,unknown,unknown,74
W9918_1999,W9918,1998,M,1998,1,WithMother,5.1,-22.734,26,41,4/21/1999,4.1196,0.634146341,1998,1,1999,4,Ajto,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W8906,W9807,75
W9919_1999,W9919,1998,F,1998,1,WithMother,5.26,-22.784,22,40,4/21/1999,4.2372,0.55,1998,1,1999,4,Milla,m,m,m,m,m,l,l,l,d,NA,NA,NA,0,NA,NA,NA,W8906,W9807,75
W9920_1999,W9920,1998,M,1998,1,WithMother,5.07,-22.784,23,40,4/21/1999,3.561,0.575,1998,1,1999,4,Alan,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W8906,W9807,75
W8906_1999,W8906,1998,F,1981,18,WithCubs,4.82,-22.854,110,66,4/21/1999,4.3352,1.666666667,1998,18,1999,3,Tunturihonan,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,unknown,unknown,75
W0115_2001,W0115,2000,M,2000,1,WithMother,4.4,-23.11,26,41,4/25/2001,3.7374,0.634146341,2000,1,2001,4,Tunturi_k6:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8906,W9301,76
W0116_2001,W0116,2000,M,2000,1,WithMother,5.34,-23.25,28,42,4/25/2001,4.2274,0.666666667,2000,1,2001,4,Tunturi_k6:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8906,W9301,76
W0117_2001,W0117,2000,F,2000,1,WithMother,5.64,-21.95,18,39,4/25/2001,4.9722,0.461538462,2000,1,2001,4,Delåsa,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8906,W9301,76
W8906_2001,W8906,2000,F,1981,20,WithCubs,4.72,-22.71,125,69,4/25/2001,3.3748,1.811594203,2000,20,2001,3,Tunturihonan,s,s,s,3,3,l,l,l,l,l,l,l,3,january-may,yes,1,unknown,unknown,76
W0301_2003,W0301,2002,M,2002,1,WithMother,5.28,-23.456,14,35,4/13/2003,9.94,0.4,2002,1,2003,4,Tunturi_k7:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8906,W0012,77
W0302_2003,W0302,2002,M,2002,1,WithMother,5.1,-23.076,26,41,4/13/2003,8.86,0.634146341,2002,1,2003,4,Tunturi_k7:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8906,W0012,77
