bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort,littercond,littercort
W9908,F,1999,W9908.1999,1998,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,UNKNOWN19,W9003.1998,227,2000,-22.51,4.46,51,49,1.04,6,3.3,,
W9902,F,1998,W9902.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9208,UNKNOWN11,W9208.1998,170,1999,-22.87,5.94,45,46,0.98,4,3.24,,
W9913,F,1998,W9913.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9404,W9311,W9404.1998,180,1999,-22.97,4.34,23,40,0.58,4,4.17,,
W9914,F,1998,W9914.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9404,W9311,W9404.1998,181,1999,-22.82,4.67,22,41,0.54,4,4.26,,
W9905,F,1998,W9905.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9904,V146007,W9904.1998,174,1999,-21.69,7.33,26,41,0.63,4,3.01,,
W0015,F,1999,W0015.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,00WW07,W8904.1999,205,2000,-22.94,5.72,36,41.5,0.87,4,3.43,,
W0021,F,1999,W0021.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9008,W9505,W9008.1999,834,2000,-23.25,4.6,30,40,0.75,4,7.45,,
W0008,F,1999,W0008.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9310,W0108,W9310.1999,189,2000,-23.28,4.65,32,40,0.8,4,4.16,,
W0010,F,1999,W0010.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9403,W9810,W9403.1999,200,2000,-23.15,5.23,30,38.5,0.78,4,4.14,,
W0018,F,1999,W0018.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9504,V235813,W9504.1999,208,2000,-22.99,5.75,27,38,0.71,4,3.92,,
W0019,F,1999,W0019.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9504,V235813,W9504.1999,209,2000,-22.87,5.66,24,37,0.65,4,3.73,,
W0020,F,1999,W0020.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9504,V235813,W9504.1999,210,2000,-22.95,5.69,24,36,0.67,4,4.93,,
