bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort
W9806,F,2004,W9806.2004,1996,8,W9806.2004,2,b,Wcubs,2,no,0,M,1.5,TW,W0121,NA,W0121.1996,415,2005,-23.112,4.29,94,64,1.46875,4,5.178
W9806,F,2006,W9806.2006,1996,10,W9806.2006,2,b,Wcubs,3,no,0,M,1.5,TW,W0121,NA,W0121.1996,481,2007,-23.208,4.63,91,64,1.421875,4,4.8938
W9913,F,2005,W9913.2005,1998,7,W9913.2005,2,b,Wcubs,3,no,0,M,1.5,TW,W9404,W9311,W9404.1998,448,2006,-23.22,3.99,99,62,1.596774194,5,4.639
W9903,F,2009,W9903.2009,1997,12,W9903.2009,2,b,Wcubs,3,no,0,M,2.5,TW,NA,NA,NA.1997,790,2010,-22.702,4.27,78,63,1.238095238,4,13.65
W9909,F,2002,W9909.2002,1989,13,W9909.2002,2,b,Wcubs,4,no,0,M,1.5,TW,NA,NA,NA.1989,331,2003,-22.906,3.86,78,66,1.181818182,4,4.247
W0008,F,1999,W0008.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9310,W0108,W9310.1999,189,2000,-23.282,4.65,32,40,0.8,4,4.1588
W0010,F,1999,W0010.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9403,W9810,W9403.1999,200,2000,-23.152,5.23,30,38.5,0.779220779,4,4.1392
W0015,F,1999,W0015.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,00WW07,W8904.1999,205,2000,-22.942,5.72,36,41.5,0.86746988,4,3.4336
W0018,F,1999,W0018.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9504,V235813,W9504.1999,208,2000,-22.992,5.75,27,38,0.710526316,4,3.9236
W0019,F,1999,W0019.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9504,V235813,W9504.1999,209,2000,-22.872,5.66,24,37,0.648648649,4,3.7276
